 BROOKLYN , Chinese , Z
 MANHATTAN , American , C
 BRONX , Chicken , C
 MANHATTAN , American , A
 MANHATTAN , American , A
 MANHATTAN , American , C
 BRONX , Pizza , A
 MANHATTAN , Caribbean , B
 MANHATTAN , Italian , B
 STATENISLAND , Bakery , A
 BROOKLYN , Creole , A
 MANHATTAN , Chinese , A
 MANHATTAN , American , B
 QUEENS , American , A
 BRONX , Pizza , A
 QUEENS , Cafe/Coffee/Tea , A
 MANHATTAN , Italian , A
 MANHATTAN , Pizza , B
 QUEENS , Japanese , B
 MANHATTAN , Delicatessen , B
 QUEENS , Pizza , A
 MANHATTAN , American , A
 BROOKLYN , Latin (Cuban Dominican Puerto Rican South & Central American) , B
 MANHATTAN , Chinese , C
 MANHATTAN , Delicatessen , B
 MANHATTAN , American , B
 MANHATTAN , American , A
 BROOKLYN , Italian , C
 BRONX , Chinese , B
 BROOKLYN , Latin (Cuban Dominican Puerto Rican South & Central American) , B
 MANHATTAN , Mexican , A
 BRONX , Chicken , B
 MANHATTAN , American , A
 MANHATTAN , Other , A
 MANHATTAN , Sandwiches/Salads/Mixed Buffet , A
 MANHATTAN , American , B
 MANHATTAN , Italian , A
 QUEENS , Chinese , A
 BRONX , Chinese , Z
 MANHATTAN , Italian , A
 MANHATTAN , American , B
 STATENISLAND , Russian , A
 MANHATTAN , Juice Smoothies Fruit Salads , B
 MANHATTAN , Japanese , C
 BROOKLYN , Ice Cream Gelato Yogurt Ices , Z
 QUEENS , Mexican , B
 MANHATTAN , Italian , A
 BROOKLYN , American , A
 MANHATTAN , Juice Smoothies Fruit Salads , A
 MANHATTAN , American , A
 MANHATTAN , Cafe/Coffee/Tea , A
 QUEENS , Pizza/Italian , C
 BROOKLYN , American , A
 MANHATTAN , Italian , B
 MANHATTAN , American , A
 MANHATTAN , Chinese , B
 BROOKLYN , Bakery , B
 MANHATTAN , American , A
 STATENISLAND , Japanese , C
 BRONX , American , A
 QUEENS , Bakery , Z
 QUEENS , Chinese , C
 MANHATTAN , Chinese , C
 MANHATTAN , Chinese , A
 MANHATTAN , American , B
 MANHATTAN , Cafe/Coffee/Tea , B
 MANHATTAN , Italian , Z
 MANHATTAN , American , A
 QUEENS , Chinese , B
 BROOKLYN , Italian , B
 BRONX , Latin (Cuban Dominican Puerto Rican South & Central American) , A
 MANHATTAN , Pizza , B
 QUEENS , Italian , A
 QUEENS , Chinese , B
 MANHATTAN , American , B
 QUEENS , Donuts , A
 BROOKLYN , American , A
 BROOKLYN , Mediterranean , A
 QUEENS , American , A
 QUEENS , Pizza , P
 BRONX , Latin (Cuban Dominican Puerto Rican South & Central American) , C
 MANHATTAN , Chinese , B
 MANHATTAN , Ice Cream Gelato Yogurt Ices , A
 BROOKLYN , Bakery , A
 QUEENS , American , A
 BROOKLYN , Vietnamese/Cambodian/Malaysia , B
 BROOKLYN , Delicatessen , B
 MANHATTAN , Cafe/Coffee/Tea , A
 MANHATTAN , American , A
 BROOKLYN , Chinese , A
 BROOKLYN , Caribbean , A
 BROOKLYN , Chinese , B
 MANHATTAN , Italian , A
 QUEENS , Mediterranean , Z
 MANHATTAN , American , A
 MANHATTAN , American , B
 MANHATTAN , Pizza , A
 QUEENS , Chinese , A
 STATENISLAND , American , B
 MANHATTAN , American , A
 BROOKLYN , Pizza , A
 BROOKLYN , American , A
 QUEENS , Latin (Cuban Dominican Puerto Rican South & Central American) , A
 QUEENS , Latin (Cuban Dominican Puerto Rican South & Central American) , A
 QUEENS , Asian , B
 MANHATTAN , Latin (Cuban Dominican Puerto Rican South & Central American) , A
 MANHATTAN , Bakery , A
 BROOKLYN , Ice Cream Gelato Yogurt Ices , A
 MANHATTAN , Mediterranean , B
 BROOKLYN , Pizza , B
 BRONX , Mexican , B
 MANHATTAN , Pizza/Italian , A
 BROOKLYN , Caribbean , C
 QUEENS , American , A
 MANHATTAN , Cafe/Coffee/Tea , A
 MANHATTAN , Chinese , A
 MANHATTAN , Ice Cream Gelato Yogurt Ices , A
 BROOKLYN , Bagels/Pretzels , A
 MANHATTAN , Japanese , B
 BROOKLYN , Chinese , A
 MANHATTAN , Hamburgers , A
 MANHATTAN , American , B
 BROOKLYN , American , A
 QUEENS , American , A
 MANHATTAN , American , B
 MANHATTAN , Spanish , A
 MANHATTAN , Chinese , A
 MANHATTAN , French , A
 BROOKLYN , Chinese , A
 MANHATTAN , American , A
 BROOKLYN , Chinese , B
 MANHATTAN , Cafe/Coffee/Tea , A
 BRONX , American , C
 MANHATTAN , Middle Eastern , A
 QUEENS , American , B
 BROOKLYN , Sandwiches/Salads/Mixed Buffet , A
 BRONX , Chinese , B
 MANHATTAN , Juice Smoothies Fruit Salads , B
 BRONX , Chinese , Z
 MANHATTAN , Greek , A
 MANHATTAN , American , A
 BROOKLYN , American , C
 BROOKLYN , Pizza/Italian , C
 MANHATTAN , Italian , B
 MANHATTAN , American , C
 STATENISLAND , American , A
 MANHATTAN , Mexican , A
 MANHATTAN , American , C
 MANHATTAN , Mediterranean , A
 MANHATTAN , Juice Smoothies Fruit Salads , A
 BROOKLYN , Chinese , Z
 MANHATTAN , Japanese , Z
 BRONX , American , B
 QUEENS , Chinese/Japanese , A
 BROOKLYN , Bakery , P
 BROOKLYN , American , B
 MANHATTAN , American , C
 MANHATTAN , American , Z
 QUEENS , Pizza , A
 MANHATTAN , Turkish , B
 MANHATTAN , Pizza , B
 STATENISLAND , American , A
 QUEENS , Bagels/Pretzels , B
 BROOKLYN , American , A
 QUEENS , Bagels/Pretzels , A
 BRONX , Juice Smoothies Fruit Salads , A
 BROOKLYN , Delicatessen , B
